"","budget","company","country","director","genre","gross","name","rating","released","runtime","score","star","votes","writer","year","actor_n","director_n","company_n","writer_n","country_n","success","success_diff","success_abs_diff"
"22",0.694458877533458,"Orion Pictures","USA","Alan Metter","Comedy",0.843972440079168,"Back to School","PG-13","1986-06-13",0.127962085308057,0.653846153846154,"Rodney Dangerfield",23120,"Rodney Dangerfield",1986,1,2,29,1,3726,2.49781859392532,0.190126286233014,0.190126286233014
"23",0.615868287067519,"Cannon Films","USA","Tobe Hooper","Comedy",0.681084461430969,"The Texas Chainsaw Massacre 2","UNRATED","1986-08-22",0.0947867298578199,0.525641025641026,"Dennis Hopper",21253,"L.M. Kit Carson",1986,1,2,4,1,3726,2.20672548707199,0.155443435789944,0.155443435789944
"24",0.723124430574478,"Jay Weston Productions","USA","Clint Eastwood","Action",0.793121165672276,"Heartbreak Ridge","R","1986-12-05",0.289099526066351,0.679487179487179,"Clint Eastwood",32954,"James Carabatsos",1986,14,24,1,1,3726,2.47260834515946,0.113633986185097,0.113633986185097
"25",0.770336638656599,"Paramount Pictures","USA","Leonard Nimoy","Adventure",0.856313121986632,"Star Trek IV: The Voyage Home","PG","1986-11-26",0.23696682464455,0.743589743589744,"William Shatner",66366,"Gene Roddenberry",1986,3,3,222,7,3726,2.59990286557638,0.112723378396888,0.112723378396888
"26",0.770336638656599,"Paramount Pictures","USA","Michael Ritchie","Action",0.834997769041484,"The Golden Child","PG-13","1986-12-12",0.118483412322275,0.564102564102564,"Eddie Murphy",42997,"Dennis Feldman",1986,25,6,222,2,3726,2.39910033314405,0.27089520493892,0.27089520493892
"27",0.532159675048305,"Hemdale","USA","Tim Hunter","Crime",0.643789120351382,"River's Edge","R","1987-05-08",0.14218009478673,0.717948717948718,"Crispin Glover",12862,"Neal Jimenez",1986,2,1,4,3,3726,2.3617378383001,-0.0741595975973358,0.0741595975973358
"28",0.770336638656599,"L.A. Films","USA","John Landis","Comedy",0.787432999503361,"¡Three Amigos!","PG","1986-12-12",0.165876777251185,0.628205128205128,"Steve Martin",57406,"Steve Martin",1986,16,7,1,2,3726,2.41563812770849,0.159227871298233,0.159227871298233
"29",0.770336638656599,"Warner Bros.","USA","George P. Cosmatos","Action",0.80236237938233,"Cobra","R","1986-05-23",0.0853080568720379,0.538461538461538,"Sylvester Stallone",54851,"Paula Gosling",1986,25,4,257,2,3726,2.34082391784387,0.263900840920791,0.263900840920791
"30",0.768469437057226,"Warner Bros.","UK","Roland Joffé","Adventure",0.732227666830958,"The Mission","PG","1986-10-31",0.265402843601896,0.769230769230769,"Robert De Niro",47497,"Robert Bolt",1986,32,6,257,1,366,2.50145843606173,-0.0370031023998112,0.0370031023998112
"31",0.715418024144765,"Touchstone Pictures","USA","Martin Scorsese","Drama",0.806664010294799,"The Color of Money","R","1986-10-17",0.23696682464455,0.705128205128205,"Paul Newman",62495,"Walter Tevis",1986,4,15,94,1,3726,2.511792215423,0.101535805166594,0.101535805166594
"32",0.638437784712761,"HBO Films","USA","Robert Harmon","Thriller",0.659837084165842,"The Hitcher","R","1986-02-21",0.132701421800948,0.743589743589744,"Rutger Hauer",36191,"Eric Red",1986,5,3,4,2,3726,2.40342682775559,-0.0837526594239019,0.0837526594239019
